Architectures,Experiment,Total Params,GFLOPS,Epochs,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
MobileNetV2,1,2916421,0.002916066,34,193.00055313110352,0.1424018212862834,0.0355011316120248,0.0202782787056506,0.1424018212862834
MobileNetV2,2,2916421,0.120081786,39,234.45810866355896,0.1424018212862834,0.0355011316120248,0.0202782787056506,0.1424018212862834
MobileNetV2,3,2916421,0.237247506,35,199.6919040679932,0.3241889584519066,0.1587363798970223,0.105098480782132,0.3241889584519066
ShuffleNet,1,1375525,0.004281027,58,265.1785035133362,0.9997723392145704,0.9997722683163636,0.9997725178070672,0.9997723392145704
ShuffleNet,2,1375525,0.121446747,79,356.5202169418335,0.9996585088218556,0.9996585922009062,0.9996590912550573,0.9996585088218556
ShuffleNet,3,1375525,0.238612467,72,323.0448741912842,0.9991462720546386,0.9991463383638444,0.999146424619994,0.9991462720546386
VGG-16,1,67154757,0.094294296,83,1229.0504591464996,0.9984632896983494,0.9984606334762623,0.9984686313597536,0.9984632896983494
VGG-16,2,67154757,0.211460016,99,1455.13738822937,0.9976664769493456,0.9976588961362228,0.9976851051512686,0.9976664769493456
VGG-16,3,67154757,0.328625736,95,1409.6943295001984,0.9999430848036426,0.9999430832722312,0.9999431075424348,0.9999430848036426
InceptionV3,1,22854437,0.027152451,76,555.0953068733215,0.9989755264655664,0.9989751807530828,0.9989752958781996,0.9989755264655664
InceptionV3,2,22854437,0.144318171,80,582.1785292625427,0.999601593625498,0.9996013761898124,0.9996021402434168,0.999601593625498
InceptionV3,3,22854437,0.261483891,54,398.7827112674713,0.9983494593056346,0.99834804106077,0.9983490382537346,0.9983494593056346
EfficientNetV2S,1,22854437,0.11716572,65,468.8229849338532,0.9974957313602733,0.997493234030104,0.9974968562896606,0.9974957313602733
EfficientNetV2S,2,22854437,0.23433144,71,524.458703994751,0.9990324416619236,0.999032382554556,0.9990336878067776,0.9990324416619236
EfficientNetV2S,3,22854437,0.35149716,87,640.8149042129517,0.9997723392145704,0.9997722928158996,0.9997725178070672,0.9997723392145704
